,name,party rhymes,Puerto Rican roots,indian influences,subtle use of arpeggiated synths,use of vocal counterpoint,catchy hooks,a knack for catchy hooks,subtle use of white noise,straight drum beats,heavy drums,latin percussion,mellow breakbeat rhythms,acoustic rhythm guitars,extensive use of vocal samples,a deep voice,spoken word,techno influences,thin backup vocal performance,light drum fills,male lead vocals,a rhythmic intro,inventive synth arrangements,minor key tonality,disco influences,a laid back male vocal,synthetic instrumentation,female lead vocals,a tight kick sound,a repetitive verse,heavy use of slang,lyrics about partying,heavy use of noise effects,effected synths,a prominent accordion part,french lyrics,rock influences,a clear focus on recording studio production,vocal duets,unusual vocal sounds,electronica influences,lyrics with heavy erotic content,synthesizers,clear pronunciation,prominent backup vocals,a female vocal,an electric bass riff,thickly layered production,piano playing,acoustic guitar,highly syncopated drum beats,techno synths,beats made for dancing,acrobatic synth lines,a dynamic male vocalist,inventive instrumental arrangements,ambiguous lyrics,heavily effected synths,basic rap roots,the use of chordal patterning,a breathy female vocal,reggae influences,a repetitive chorus,upbeat lyrics,light synth fx,use of modal harmonies,acoustic drum samples,synth heavy arrangements,ambient synthesizers,use of tonal harmonies,synth riffs,trance roots,a slow moving bass line,erotic lyrics,a dry recording sound,meter complexity,heavy backbeat ,a string ensemble,house roots,danceable beats,consistent rhyme patterns,bowed strings,club rap roots,staccato synths,dub influences,ferocious sounds,trippy soundscapes,a variety of synth sounds,unsyncopated ensemble rhythms,backbeat handclaps,a smooth female vocal,thin orchestration,party jam style,a laid back female vocal,percussion layers,syncopated beats,affected backup vocals,electronica roots,intricate rhythms,busy beats,minimalist arrangements,highly syncopated ensemble rhythms,melodic part writing,trance influences,repetitive melodic phrasing,hardcore rap influence,synth swoops,gangsta rap attitude,prominent drum fills,dominant use of harmony,dominant use of piano riffs,simple harmonic progressions,heavy use of white noise,vocal effects,latin influences,electric guitars,subtle use of piano riffs,radio friendly stylings,Brazilian influences,prominent horns,southern rap roots,a busy bass line,major key tonality,funk influences,prevalent use of groove,a male vocal,vocal samples,acoustic guitar layering,vinyl ambience,joyful lyrics,smooth vocals,the use of vocal call and response,prominent percussion,an altered male vocal,a hand percussion layer,extensive production,subtle use of pianos,emphasis on song form,dominant melodic hooks,light percussion fills,prevalent use of arpeggiated synths,techno roots,guitar effects,heavy use of samples,funk beats,portuguese lyrics,rap influences,a dynamic male vocal,a highly synthetic sonority,house influences,extensive vamping,IDM influences,surreal lyrics,danceable grooves,a wet recording sound,a thin female vocal performance,an emotional female vocal,paired vocal harmony,ambient synth textures,emphasis on instrumental performance,heavy use of vocal harmonies,group vocals,romantic lyrics,subtle use of noise effects,headnodic beats,southern vocal twang,smooth synth textures,mixed acoustic and electric instrumentation,prominent use of synth,use of accordions,a synth bass riff,extensive studio production,middle eastern influences,subtle use of staccato synths,storytelling lyrics,use of tenor sax,jazzy style,exaggerated enunciation,rhythmic clapping,arpeggiated synths
0,/martin-garrix/annual-2014-ministry-of-sound/animals,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,/zion-lennox/los-verdaderos/detective-de-tu-amor,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,/wisin-yandel/los-vaqueros-el-regreso/tumbao,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,/dillon-francis-dj-snake/get-low-radio-edit-single/get-low-radio-edit,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,/morgan-page/2008-party-playlist-masterbeat/longest-road-deadmau5-remix-radio-edit,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,/public-enemy/bring-noise-remixes/bring-noise-benny-benassi-pump-kin-remix,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,/wisin-yandel/lideres/prende,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,/nadia-ali/no-xcuses-violet-edition/rapture-avicii-new-generation-radio-edit,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,/major-lazer/lean-on-single/lean-on-feat-mo-dj-snake,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
9,/steve-aoki/wonderland-remixed/come-with-me-deadmeat-jidax-remix,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
