TV,Radio,Newspaper,Sales,Region
230.1,37.8,69.2,22.1,1
44.5,39.3,45.1,10.4,1
17.2,45.9,69.3,9.3,1
151.5,41.3,58.5,18.5,1
180.8,10.8,58.4,12.9,1
8.7,48.9,75,7.2,1
57.5,32.8,23.5,11.8,1
120.2,19.6,11.6,13.2,1
8.6,2.1,1,4.8,1
199.8,2.6,21.2,10.6,1
66.1,5.8,24.2,8.6,1
214.7,24,4,17.4,1
23.8,35.1,65.9,9.2,1
97.5,7.6,7.2,9.7,1
204.1,32.9,46,19,1
195.4,47.7,52.9,22.4,1
67.8,36.6,114,12.5,1
281.4,39.6,55.8,24.4,1
69.2,20.5,18.3,11.3,1
147.3,23.9,19.1,14.6,1
218.4,27.7,53.4,18,1
237.4,5.1,23.5,12.5,1
13.2,15.9,49.6,5.6,1
228.3,16.9,26.2,15.5,1
62.3,12.6,18.3,9.7,1
262.9,3.5,19.5,12,1
142.9,29.3,12.6,15,1
240.1,16.7,22.9,15.9,1
248.8,27.1,22.9,18.9,1
70.6,16,40.8,10.5,1
292.9,28.3,43.2,21.4,1
112.9,17.4,38.6,11.9,1
97.2,1.5,30,9.6,1
265.6,20,0.3,17.4,1
95.7,1.4,7.4,9.5,1
290.7,4.1,8.5,12.8,1
266.9,43.8,5,25.4,1
74.7,49.4,45.7,14.7,1
43.1,26.7,35.1,10.1,1
228,37.7,32,21.5,1
202.5,22.3,31.6,16.6,1
177,33.4,38.7,17.1,1
293.6,27.7,1.8,20.7,1
206.9,8.4,26.4,12.9,1
25.1,25.7,43.3,8.5,1
175.1,22.5,31.5,14.9,1
89.7,9.9,35.7,10.6,1
239.9,41.5,18.5,23.2,2
227.2,15.8,49.9,14.8,2
66.9,11.7,36.8,9.7,2
199.8,3.1,34.6,11.4,2
100.4,9.6,3.6,10.7,2
216.4,41.7,39.6,22.6,2
182.6,46.2,58.7,21.2,2
262.7,28.8,15.9,20.2,2
198.9,49.4,60,23.7,2
7.3,28.1,41.4,5.5,2
136.2,19.2,16.6,13.2,2
210.8,49.6,37.7,23.8,2
210.7,29.5,9.3,18.4,2
53.5,2,21.4,8.1,2
261.3,42.7,54.7,24.2,2
239.3,15.5,27.3,15.7,2
102.7,29.6,8.4,14,2
131.1,42.8,28.9,18,2
69,9.3,0.9,9.3,2
31.5,24.6,2.2,9.5,2
139.3,14.5,10.2,13.4,2
237.4,27.5,11,18.9,2
216.8,43.9,27.2,22.3,2
199.1,30.6,38.7,18.3,2
109.8,14.3,31.7,12.4,2
26.8,33,19.3,8.8,2
129.4,5.7,31.3,11,2
213.4,24.6,13.1,17,2
16.9,43.7,89.4,8.7,2
27.5,1.6,20.7,6.9,2
120.5,28.5,14.2,14.2,2
5.4,29.9,9.4,5.3,2
116,7.7,23.1,11,2
76.4,26.7,22.3,11.8,2
239.8,4.1,36.9,12.3,2
75.3,20.3,32.5,11.3,2
68.4,44.5,35.6,13.6,2
213.5,43,33.8,21.7,2
193.2,18.4,65.7,15.2,2
76.3,27.5,16,12,2
110.7,40.6,63.2,16,2
88.3,25.5,73.4,12.9,2
109.8,47.8,51.4,16.7,2
134.3,4.9,9.3,11.2,2
28.6,1.5,33,7.3,2
217.7,33.5,59,19.4,2
250.9,36.5,72.3,22.2,2
107.4,14,10.9,11.5,2
163.3,31.6,52.9,16.9,2
197.6,3.5,5.9,11.7,2
184.9,21,22,15.5,2
289.7,42.3,51.2,25.4,3
135.2,41.7,45.9,17.2,3
222.4,4.3,49.8,11.7,3
296.4,36.3,100.9,23.8,3
280.2,10.1,21.4,14.8,3
187.9,17.2,17.9,14.7,3
238.2,34.3,5.3,20.7,3
137.9,46.4,59,19.2,3
25,11,29.7,7.2,3
90.4,0.3,23.2,8.7,3
13.1,0.4,25.6,5.3,3
255.4,26.9,5.5,19.8,3
225.8,8.2,56.5,13.4,3
241.7,38,23.2,21.8,3
175.7,15.4,2.4,14.1,3
209.6,20.6,10.7,15.9,3
78.2,46.8,34.5,14.6,3
75.1,35,52.7,12.6,3
139.2,14.3,25.6,12.2,3
76.4,0.8,14.8,9.4,3
125.7,36.9,79.2,15.9,3
19.4,16,22.3,6.6,3
141.3,26.8,46.2,15.5,3
18.8,21.7,50.4,7,3
224,2.4,15.6,11.6,3
123.1,34.6,12.4,15.2,3
229.5,32.3,74.2,19.7,3
87.2,11.8,25.9,10.6,3
7.8,38.9,50.6,6.6,3
80.2,0,9.2,8.8,3
220.3,49,3.2,24.7,3
59.6,12,43.1,9.7,3
0.7,39.6,8.7,1.6,3
265.2,2.9,43,12.7,3
8.4,27.2,2.1,5.7,3
219.8,33.5,45.1,19.6,3
36.9,38.6,65.6,10.8,3
48.3,47,8.5,11.6,3
25.6,39,9.3,9.5,3
273.7,28.9,59.7,20.8,3
43,25.9,20.5,9.6,3
184.9,43.9,1.7,20.7,3
73.4,17,12.9,10.9,3
193.7,35.4,75.6,19.2,3
220.5,33.2,37.9,20.1,3
104.6,5.7,34.4,10.4,3
96.2,14.8,38.9,11.4,3
140.3,1.9,9,10.3,3
240.1,7.3,8.7,13.2,3
243.2,49,44.3,25.4,3
38,40.3,11.9,10.9,3
44.7,25.8,20.6,10.1,4
280.7,13.9,37,16.1,4
121,8.4,48.7,11.6,4
197.6,23.3,14.2,16.6,4
171.3,39.7,37.7,19,4
187.8,21.1,9.5,15.6,4
4.1,11.6,5.7,3.2,4
93.9,43.5,50.5,15.3,4
149.8,1.3,24.3,10.1,4
11.7,36.9,45.2,7.3,4
131.7,18.4,34.6,12.9,4
172.5,18.1,30.7,14.4,4
85.7,35.8,49.3,13.3,4
188.4,18.1,25.6,14.9,4
163.5,36.8,7.4,18,4
117.2,14.7,5.4,11.9,4
234.5,3.4,84.8,11.9,4
17.9,37.6,21.6,8,4
206.8,5.2,19.4,12.2,4
215.4,23.6,57.6,17.1,4
284.3,10.6,6.4,15,4
50,11.6,18.4,8.4,4
164.5,20.9,47.4,14.5,4
19.6,20.1,17,7.6,4
168.4,7.1,12.8,11.7,4
222.4,3.4,13.1,11.5,4
276.9,48.9,41.8,27,4
248.4,30.2,20.3,20.2,4
170.2,7.8,35.2,11.7,4
276.7,2.3,23.7,11.8,4
165.6,10,17.6,12.6,4
156.6,2.6,8.3,10.5,4
218.5,5.4,27.4,12.2,4
56.2,5.7,29.7,8.7,4
287.6,43,71.8,26.2,4
253.8,21.3,30,17.6,4
205,45.1,19.6,22.6,4
139.5,2.1,26.6,10.3,4
191.1,28.7,18.2,17.3,4
